NU_ANO;CO_CURSO;CO_IES;CO_CATEGAD;CO_ORGACAD;CO_GRUPO;CO_MODALIDADE;CO_MUNIC_CURSO;CO_UF_CURSO;CO_REGIAO_CURSO
2021;317;3;1;10028;4004;1;2806701;28;2
2021;513;5;1;10028;4004;1;2211001;22;2
2021;968;11;5;10028;4004;1;2611606;26;2
2021;2209;29;2;10028;4004;1;2304400;23;2
2021;10515;519;5;10028;4006;1;2927408;29;2
2021;11452;548;1;10028;4004;1;2111300;21;2
2021;11730;555;5;10028;4004;1;2304400;23;2
2021;12313;570;1;10028;4004;1;2408102;24;2
2021;13216;577;1;10028;4004;1;2704302;27;2
2021;13277;578;1;10028;4004;1;2927408;29;2
2021;13401;579;1;10028;4004;1;2507507;25;2
2021;13446;2564;1;10028;4004;1;2504009;25;2
2021;13595;580;1;10028;4004;1;2611606;26;2
2021;13980;583;1;10028;4004;1;2304400;23;2
2021;17266;847;4;10022;72;1;2211001;22;2
2021;17898;1059;4;10022;4004;1;2304400;23;2
2021;18267;396;4;10020;4004;1;2927408;29;2
2021;18558;756;2;10028;4004;1;2207702;22;2
2021;18559;756;2;10028;4004;1;2211001;22;2
2021;18584;95;2;10028;4004;1;2312908;23;2
2021;18671;40;2;10028;4006;1;2900702;29;2
2021;18683;398;4;10028;4004;1;2800308;28;2
2021;18903;621;5;10020;4006;1;2704302;27;2
2021;19042;688;2;10028;4004;1;2933307;29;2
2021;19047;352;4;10020;4004;1;2507507;25;2
2021;20030;385;4;10028;4004;1;2927408;29;2
2021;20239;24;2;10028;4004;1;2913606;29;2
2021;20756;1441;4;10022;4006;1;2211001;22;2
2021;20933;71;2;10028;4004;1;2408003;24;2
2021;21464;1107;4;10020;4006;1;2304400;23;2
2021;22047;718;4;10028;4006;1;2408102;24;2
2021;37862;692;3;10022;4004;1;2611101;26;2
2021;40343;398;4;10028;4006;1;2800308;28;2
2021;43917;587;1;10028;4005;1;2611606;26;2
2021;46377;1658;4;10020;4004;1;2304400;23;2
2021;47051;1298;4;10022;4006;1;2704302;27;2
2021;47069;1556;4;10020;4006;1;2304400;23;2
2021;47478;4420;4;10020;4006;1;2609600;26;2
2021;47505;1552;4;10022;4006;1;2207702;22;2
2021;47798;2566;4;10022;72;1;2609600;26;2
2021;48205;1805;4;10020;4004;1;2607901;26;2
2021;48231;1809;1;10026;72;1;2611606;26;2
2021;48675;1058;4;10020;4006;1;2927408;29;2
2021;49054;1077;4;10020;4006;1;2611606;26;2
2021;49071;1075;4;10020;4006;1;2507507;25;2
2021;50082;1717;4;10022;4006;1;2105302;21;2
2021;50981;1734;4;10020;4006;1;2211001;22;2
2021;51020;396;4;10020;4006;1;2927408;29;2
2021;51864;1965;5;10020;72;1;2704302;27;2
2021;53331;1053;4;10020;4006;1;2910800;29;2
2021;53333;1364;4;10020;4006;1;2933307;29;2
2021;53342;1895;4;10020;4006;1;2304400;23;2
2021;54934;2037;4;10022;4006;1;2919207;29;2
2021;55402;823;5;10028;4006;1;2111300;21;2
2021;56158;2783;4;10022;72;1;2304400;23;2
2021;56172;385;4;10028;4006;1;2927408;29;2
2021;57606;71;2;10028;4004;1;2408102;24;2
2021;57612;1642;4;10022;4006;1;2914802;29;2
2021;58391;1166;1;10026;79;1;2507507;25;2
2021;59122;1819;4;10020;4004;1;2304400;23;2
2021;62638;1820;1;10026;72;1;2211001;22;2
2021;64664;1334;4;10020;4006;1;2504009;25;2
2021;67092;1708;4;10022;4004;1;2611606;26;2
2021;68930;1697;5;10020;4006;1;2616407;26;2
2021;70051;1107;4;10020;72;1;2304400;23;2
2021;72070;1107;4;10020;79;1;2304400;23;2
2021;72225;1708;4;10022;79;1;2611606;26;2
2021;73140;2222;4;10020;4006;1;2924009;29;2
2021;73519;2437;4;10022;4004;1;2931350;29;2
2021;80892;4094;4;10022;72;1;2507507;25;2
2021;82615;550;2;10028;4005;1;2504009;25;2
2021;83182;2783;4;10022;79;1;2304400;23;2
2021;83388;1255;4;10020;4004;1;2611606;26;2
2021;87396;409;2;10028;4006;1;2604106;26;2
2021;88068;3588;4;10020;4006;1;2927408;29;2
2021;88084;916;4;10022;4004;1;2211001;22;2
2021;88574;385;4;10028;79;1;2927408;29;2
2021;88728;1820;1;10026;72;1;2203909;22;2
2021;90030;1772;4;10020;4006;1;2304400;23;2
2021;91181;1059;4;10022;4006;1;2304400;23;2
2021;91262;589;1;10028;4004;1;2408003;24;2
2021;94455;3930;4;10022;4004;1;2208007;22;2
2021;94762;2835;4;10020;4006;1;2611606;26;2
2021;95017;3;1;10028;4006;1;2802908;28;2
2021;95104;1166;1;10026;72;1;2503704;25;2
2021;95175;2593;5;10020;4006;1;2307304;23;2
2021;97057;1058;4;10020;79;1;2927408;29;2
2021;97443;385;4;10028;4006;1;2910800;29;2
2021;97778;688;2;10028;4006;1;2918001;29;2
2021;98013;4399;4;10022;4006;1;2101400;21;2
2021;98764;2244;4;10022;4004;1;2704302;27;2
2021;98984;579;1;10028;4005;1;2512903;25;2
2021;99406;3;1;10028;4006;1;2806701;28;2
2021;99820;3388;4;10020;4006;1;2307304;23;2
2021;100244;1082;1;10026;72;1;2408102;24;2
2021;100246;1082;1;10026;79;1;2408102;24;2
2021;101830;587;1;10028;4006;1;2613909;26;2
2021;101942;577;1;10028;4004;1;2700300;27;2
2021;102590;5;1;10028;4006;1;2208007;22;2
2021;103062;40;2;10028;4006;1;2927408;29;2
2021;104360;2135;5;10020;4006;1;2311306;23;2
2021;105762;2460;4;10022;79;1;2408102;24;2
2021;106167;583;1;10028;4006;1;2311306;23;2
2021;107360;579;1;10028;4006;1;2512903;25;2
2021;107422;2466;5;10022;4006;1;2313401;23;2
2021;107920;4865;4;10022;4004;1;2111300;21;2
2021;108230;1805;4;10020;79;1;2607901;26;2
2021;108660;5;1;10028;4006;0;2211001;22;2
2021;109796;2076;4;10020;72;1;2927408;29;2
2021;110646;1298;4;10022;79;1;2704302;27;2
2021;113455;577;1;10028;4006;0;2704302;27;2
2021;113671;587;1;10028;4005;0;2611606;26;2
2021;113687;587;1;10028;4006;0;2611606;26;2
2021;113813;600;1;10026;4006;1;2111300;21;2
2021;114053;550;2;10028;4005;1;2510808;25;2
2021;114616;4742;4;10022;4006;1;2609600;26;2
2021;116590;599;1;10026;72;1;2927408;29;2
2021;116770;570;1;10028;4006;1;2402006;24;2
2021;117022;1885;4;10020;4006;1;2111300;21;2
2021;118420;587;1;10028;4006;1;2611606;26;2
2021;118468;25275;1;10028;4004;1;2606002;26;2
2021;119174;385;4;10028;79;1;2910800;29;2
2021;119970;2037;4;10022;79;1;2919207;29;2
2021;120172;1735;4;10020;72;1;2307304;23;2
2021;121564;409;2;10028;4005;1;2606002;26;2
2021;123502;599;1;10026;4005;1;2932903;29;2
2021;1047907;4118;4;10020;4006;1;2610707;26;2
2021;1053121;13106;4;10022;72;1;2304400;23;2
2021;1058390;2122;4;10020;79;1;2800308;28;2
2021;1058492;1772;4;10020;72;1;2304400;23;2
2021;1070485;2150;4;10020;4004;1;2211001;22;2
2021;1076195;2043;4;10020;72;1;2305407;23;2
2021;1101244;3160;1;10026;4006;1;2704302;27;2
2021;1102628;587;1;10028;4004;1;2611606;26;2
2021;1103633;14509;1;10026;72;1;2907509;29;2
2021;1103664;14509;1;10026;4005;1;2930105;29;2
2021;1103723;1455;5;10022;4006;1;2900702;29;2
2021;1104245;1452;4;10022;79;1;2111300;21;2
2021;1106267;13897;4;10022;79;1;2111300;21;2
2021;1106470;4964;4;10020;72;1;2103000;21;2
2021;1108692;1910;4;10022;4006;1;2919207;29;2
2021;1117071;396;4;10020;79;1;2927408;29;2
2021;1117715;589;1;10028;4005;1;2400802;24;2
2021;1117717;589;1;10028;4006;1;2400802;24;2
2021;1118057;599;1;10026;4006;1;2933307;29;2
2021;1118107;396;4;10020;72;1;2927408;29;2
2021;1122749;599;1;10026;72;1;2910727;29;2
2021;1125808;599;1;10026;4005;1;2925303;29;2
2021;1125917;3161;1;10026;4005;1;2611101;26;2
2021;1127191;583;1;10028;79;1;2311306;23;2
2021;1132918;578;1;10028;4006;1;2927408;29;2
2021;1136142;580;1;10028;4006;1;2611606;26;2
2021;1137739;4118;4;10020;72;1;2610707;26;2
