NU_ANO_CENSO,CO_IES,CO_CURSO,NO_CURSO,NO_REGIAO,CO_REGIAO,NO_UF,SG_UF,CO_UF
2017,699,116776,ENGENHARIA DE ALIMENTOS,Norte,1.0,Rondônia,RO,11.0
2017,699,116782,PEDAGOGIA,Norte,1.0,Rondônia,RO,11.0
2017,833,5000169,EDUCAÇÃO FÍSICA,Norte,1.0,Rondônia,RO,11.0
2017,833,98352,GEOGRAFIA,Norte,1.0,Rondônia,RO,11.0
2017,833,75021,MATEMÁTICA,Norte,1.0,Rondônia,RO,11.0
2017,833,99006,PEDAGOGIA,Norte,1.0,Rondônia,RO,11.0
2017,1540,22113,ADMINISTRAÇÃO,Norte,1.0,Rondônia,RO,11.0
2017,1540,1279568,CIÊNCIAS CONTÁBEIS,Norte,1.0,Rondônia,RO,11.0
2017,1540,54688,DIREITO,Norte,1.0,Rondônia,RO,11.0
2017,1540,5000264,ENFERMAGEM,Norte,1.0,Rondônia,RO,11.0
2017,1540,5000263,FARMÁCIA,Norte,1.0,Rondônia,RO,11.0
2017,1540,96110,PSICOLOGIA,Norte,1.0,Rondônia,RO,11.0
2017,1540,118968,SISTEMAS PARA INTERNET,Norte,1.0,Rondônia,RO,11.0
2017,4613,1259883,ADMINISTRAÇÃO,Norte,1.0,Rondônia,RO,11.0
2017,4613,1321870,AGRONOMIA,Norte,1.0,Rondônia,RO,11.0
2017,4613,1259887,CIÊNCIAS CONTÁBEIS,Norte,1.0,Rondônia,RO,11.0
2017,4613,1074296,EDUCAÇÃO FÍSICA,Norte,1.0,Rondônia,RO,11.0
2017,4613,104306,ENFERMAGEM,Norte,1.0,Rondônia,RO,11.0
2017,4613,1321872,ENGENHARIA AMBIENTAL E SANITÁRIA,Norte,1.0,Rondônia,RO,11.0
2017,4613,1259888,ENGENHARIA CIVIL,Norte,1.0,Rondônia,RO,11.0
2017,4613,104308,FARMÁCIA,Norte,1.0,Rondônia,RO,11.0
2017,4613,104312,FISIOTERAPIA,Norte,1.0,Rondônia,RO,11.0
2017,4613,104310,FÍSICA,Norte,1.0,Rondônia,RO,11.0
2017,4613,1168037,GESTÃO AMBIENTAL,Norte,1.0,Rondônia,RO,11.0
2017,4613,117508,PSICOLOGIA,Norte,1.0,Rondônia,RO,11.0
2017,4613,104314,QUÍMICA,Norte,1.0,Rondônia,RO,11.0
2017,4785,1263591,CIÊNCIAS BIOLÓGICAS,Norte,1.0,Rondônia,RO,11.0
2017,699,16008,ADMINISTRAÇÃO,Norte,1.0,Rondônia,RO,11.0
2017,699,16000,CIÊNCIAS CONTÁBEIS,Norte,1.0,Rondônia,RO,11.0
2017,699,16012,DIREITO,Norte,1.0,Rondônia,RO,11.0
2017,699,1106843,ENGENHARIA DE PRODUÇÃO,Norte,1.0,Rondônia,RO,11.0
2017,1917,1186842,ADMINISTRAÇÃO,Norte,1.0,Rondônia,RO,11.0
2017,1917,108376,AGRONEGÓCIO,Norte,1.0,Rondônia,RO,11.0
2017,1917,1180192,ARQUITETURA E URBANISMO,Norte,1.0,Rondônia,RO,11.0
2017,1917,51273,CIÊNCIAS BIOLÓGICAS,Norte,1.0,Rondônia,RO,11.0
2017,1917,351273,CIÊNCIAS BIOLÓGICAS,Norte,1.0,Rondônia,RO,11.0
2017,1917,1187073,CIÊNCIAS CONTÁBEIS,Norte,1.0,Rondônia,RO,11.0
2017,1917,54418,EDUCAÇÃO FÍSICA,Norte,1.0,Rondônia,RO,11.0
2017,1917,51270,ENFERMAGEM,Norte,1.0,Rondônia,RO,11.0
2017,1917,1261146,ENGENHARIA CIVIL,Norte,1.0,Rondônia,RO,11.0
2017,1917,1261227,ENGENHARIA ELÉTRICA,Norte,1.0,Rondônia,RO,11.0
2017,1917,119996,FARMÁCIA,Norte,1.0,Rondônia,RO,11.0
2017,1917,79756,FISIOTERAPIA,Norte,1.0,Rondônia,RO,11.0
2017,1917,99658,FÍSICA,Norte,1.0,Rondônia,RO,11.0
2017,1917,106986,GESTÃO AMBIENTAL,Norte,1.0,Rondônia,RO,11.0
2017,1917,106988,GESTÃO DE RECURSOS HUMANOS,Norte,1.0,Rondônia,RO,11.0
2017,1917,99654,MATEMÁTICA,Norte,1.0,Rondônia,RO,11.0
2017,1917,98409,MEDICINA,Norte,1.0,Rondônia,RO,11.0
2017,1917,98350,MEDICINA VETERINÁRIA,Norte,1.0,Rondônia,RO,11.0
2017,1917,100878,ODONTOLOGIA,Norte,1.0,Rondônia,RO,11.0
2017,1917,118802,PROCESSOS GERENCIAIS,Norte,1.0,Rondônia,RO,11.0
2017,1917,99596,PSICOLOGIA,Norte,1.0,Rondônia,RO,11.0
2017,1917,99656,QUÍMICA,Norte,1.0,Rondônia,RO,11.0
2017,4255,18805,ADMINISTRAÇÃO,Norte,1.0,Rondônia,RO,11.0
2017,4255,58741,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Norte,1.0,Rondônia,RO,11.0
2017,4255,1182873,ARQUITETURA E URBANISMO,Norte,1.0,Rondônia,RO,11.0
2017,4255,1044438,BIOMEDICINA,Norte,1.0,Rondônia,RO,11.0
2017,4255,19919,CIÊNCIAS CONTÁBEIS,Norte,1.0,Rondônia,RO,11.0
2017,4255,21304,CIÊNCIAS ECONÔMICAS,Norte,1.0,Rondônia,RO,11.0
2017,4255,49820,DIREITO,Norte,1.0,Rondônia,RO,11.0
2017,4255,1205203,ENFERMAGEM,Norte,1.0,Rondônia,RO,11.0
2017,4255,1032526,ENGENHARIA AMBIENTAL,Norte,1.0,Rondônia,RO,11.0
2017,4255,1105315,ENGENHARIA CIVIL,Norte,1.0,Rondônia,RO,11.0
2017,4255,1032532,ENGENHARIA DE PRODUÇÃO,Norte,1.0,Rondônia,RO,11.0
2017,4255,1303617,GASTRONOMIA,Norte,1.0,Rondônia,RO,11.0
2017,4255,73176,LETRAS - PORTUGUÊS E INGLÊS,Norte,1.0,Rondônia,RO,11.0
2017,4255,1105314,NUTRIÇÃO,Norte,1.0,Rondônia,RO,11.0
2017,4255,107152,PEDAGOGIA,Norte,1.0,Rondônia,RO,11.0
2017,4255,90635,PSICOLOGIA,Norte,1.0,Rondônia,RO,11.0
2017,4255,1032473,SISTEMA DE INFORMAÇÃO,Norte,1.0,Rondônia,RO,11.0
2017,4785,1364337,AGRONEGÓCIO,Norte,1.0,Rondônia,RO,11.0
2017,4785,1292902,MATEMÁTICA,Norte,1.0,Rondônia,RO,11.0
2017,4785,1425217,ZOOTECNIA,Norte,1.0,Rondônia,RO,11.0
2017,13792,1121142,ADMINISTRAÇÃO,Norte,1.0,Rondônia,RO,11.0
2017,13792,1121144,BIOMEDICINA,Norte,1.0,Rondônia,RO,11.0
2017,13792,1121145,CIÊNCIAS CONTÁBEIS,Norte,1.0,Rondônia,RO,11.0
2017,13792,1121143,ENFERMAGEM,Norte,1.0,Rondônia,RO,11.0
2017,13792,1279827,ENGENHARIA CIVIL,Norte,1.0,Rondônia,RO,11.0
2017,13792,1121146,FARMÁCIA,Norte,1.0,Rondônia,RO,11.0
2017,1086,99236,ADMINISTRAÇÃO,Norte,1.0,Rondônia,RO,11.0
2017,1086,67661,PEDAGOGIA,Norte,1.0,Rondônia,RO,11.0
2017,4785,1138922,AGRONOMIA,Norte,1.0,Rondônia,RO,11.0
2017,4785,1136925,CIÊNCIAS BIOLÓGICAS,Norte,1.0,Rondônia,RO,11.0
2017,4785,90763,GESTÃO AMBIENTAL,Norte,1.0,Rondônia,RO,11.0
2017,4785,90765,LATICÍNIOS,Norte,1.0,Rondônia,RO,11.0
2017,4785,1403157,ZOOTECNIA,Norte,1.0,Rondônia,RO,11.0
2017,699,24092,ADMINISTRAÇÃO,Norte,1.0,Rondônia,RO,11.0
2017,699,122760,GESTÃO AMBIENTAL,Norte,1.0,Rondônia,RO,11.0
2017,699,16003,LETRAS,Norte,1.0,Rondônia,RO,11.0
2017,699,16007,PEDAGOGIA,Norte,1.0,Rondônia,RO,11.0
2017,1699,46555,ADMINISTRAÇÃO,Norte,1.0,Rondônia,RO,11.0
2017,1699,118750,CIÊNCIAS BIOLÓGICAS,Norte,1.0,Rondônia,RO,11.0
2017,1699,53892,CIÊNCIAS CONTÁBEIS,Norte,1.0,Rondônia,RO,11.0
2017,1699,49360,PEDAGOGIA,Norte,1.0,Rondônia,RO,11.0
2017,1699,1047194,SERVIÇO SOCIAL,Norte,1.0,Rondônia,RO,11.0
2017,450,9411,ADMINISTRAÇÃO,Norte,1.0,Rondônia,RO,11.0
2017,450,9413,AGRONOMIA,Norte,1.0,Rondônia,RO,11.0
2017,450,118388,ARQUITETURA E URBANISMO,Norte,1.0,Rondônia,RO,11.0
2017,450,118392,BIOMEDICINA,Norte,1.0,Rondônia,RO,11.0
2017,450,119750,CIÊNCIAS BIOLÓGICAS,Norte,1.0,Rondônia,RO,11.0
2017,450,1114511,CIÊNCIAS BIOLÓGICAS,Norte,1.0,Rondônia,RO,11.0
2017,450,9409,CIÊNCIAS CONTÁBEIS,Norte,1.0,Rondônia,RO,11.0
2017,450,9412,DIREITO,Norte,1.0,Rondônia,RO,11.0
2017,450,86547,EDUCAÇÃO FÍSICA,Norte,1.0,Rondônia,RO,11.0
2017,450,86658,EDUCAÇÃO FÍSICA,Norte,1.0,Rondônia,RO,11.0
2017,450,72115,ENFERMAGEM,Norte,1.0,Rondônia,RO,11.0
2017,450,118390,FARMÁCIA,Norte,1.0,Rondônia,RO,11.0
2017,450,63991,FISIOTERAPIA,Norte,1.0,Rondônia,RO,11.0
2017,450,75368,MEDICINA VETERINÁRIA,Norte,1.0,Rondônia,RO,11.0
2017,450,63996,SERVIÇO SOCIAL,Norte,1.0,Rondônia,RO,11.0
2017,450,9414,SISTEMAS DE INFORMAÇÃO,Norte,1.0,Rondônia,RO,11.0
2017,699,116738,EDUCAÇÃO BÁSICA INTERCULTURAL,Norte,1.0,Rondônia,RO,11.0
2017,699,100719,ENGENHARIA AMBIENTAL,Norte,1.0,Rondônia,RO,11.0
2017,699,116746,ESTATÍSTICA,Norte,1.0,Rondônia,RO,11.0
2017,699,16011,FÍSICA,Norte,1.0,Rondônia,RO,11.0
2017,699,1114212,FÍSICA,Norte,1.0,Rondônia,RO,11.0
2017,699,16010,MATEMÁTICA,Norte,1.0,Rondônia,RO,11.0
2017,699,16002,PEDAGOGIA,Norte,1.0,Rondônia,RO,11.0
2017,4411,104244,ADMINISTRAÇÃO,Norte,1.0,Rondônia,RO,11.0
2017,4411,1258352,ARQUITETURA E URBANISMO,Norte,1.0,Rondônia,RO,11.0
2017,4411,1322359,BIOMEDICINA,Norte,1.0,Rondônia,RO,11.0
2017,4411,104246,CIÊNCIAS CONTÁBEIS,Norte,1.0,Rondônia,RO,11.0
2017,4411,1178713,ENFERMAGEM,Norte,1.0,Rondônia,RO,11.0
2017,4411,1259125,ENGENHARIA AMBIENTAL,Norte,1.0,Rondônia,RO,11.0
2017,4411,1257964,ENGENHARIA CIVIL,Norte,1.0,Rondônia,RO,11.0
2017,4411,1257965,FARMÁCIA,Norte,1.0,Rondônia,RO,11.0
2017,4411,1322265,FISIOTERAPIA,Norte,1.0,Rondônia,RO,11.0
2017,4411,1284873,ODONTOLOGIA,Norte,1.0,Rondônia,RO,11.0
2017,4411,104242,PEDAGOGIA,Norte,1.0,Rondônia,RO,11.0
2017,4411,1160248,PSICOLOGIA,Norte,1.0,Rondônia,RO,11.0
2017,4785,1364338,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Norte,1.0,Rondônia,RO,11.0
2017,4785,1137369,QUÍMICA,Norte,1.0,Rondônia,RO,11.0
2017,2779,1058916,ADMINISTRAÇÃO,Norte,1.0,Rondônia,RO,11.0
2017,2779,1058919,CIÊNCIAS CONTÁBEIS,Norte,1.0,Rondônia,RO,11.0
2017,2779,1258433,ENFERMAGEM,Norte,1.0,Rondônia,RO,11.0
2017,2779,1204603,ENGENHARIA AMBIENTAL,Norte,1.0,Rondônia,RO,11.0
2017,2779,1204491,ENGENHARIA CIVIL,Norte,1.0,Rondônia,RO,11.0
2017,2779,1304882,FARMÁCIA,Norte,1.0,Rondônia,RO,11.0
2017,2779,1099321,PEDAGOGIA,Norte,1.0,Rondônia,RO,11.0
2017,2779,88066,SISTEMA DE INFORMAÇÃO,Norte,1.0,Rondônia,RO,11.0
2017,1403,20600,ADMINISTRAÇÃO,Norte,1.0,Rondônia,RO,11.0
2017,1403,1111368,CIÊNCIAS CONTÁBEIS,Norte,1.0,Rondônia,RO,11.0
